plotid,sampleid,sample_internal_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,confidence,confidence_comment,Land cover elements
100,14286,804477630,-97.77791200610515,30.634930241034567,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634930241034567),50,,Trees
100,14287,804477631,-97.7778076036631,30.634121757276347,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.634121757276347),50,,Trees
100,14257,804477601,-97.77812081098931,30.634121757276347,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634121757276347),50,,Grasses
100,14258,804477602,-97.77812081098931,30.634211589138687,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634211589138687),50,,Trees
100,14259,804477603,-97.77812081098931,30.634301420917595,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634301420917595),50,,Built-up
100,14260,804477604,-97.77812081098931,30.6343912526131,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.6343912526131),50,,Built-up
100,14261,804477605,-97.77812081098931,30.63448108422523,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.63448108422523),50,,Built-up
100,14262,804477606,-97.77812081098931,30.634570915753898,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634570915753898),50,,Trees
100,14263,804477607,-97.77812081098931,30.63466074719919,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.63466074719919),50,,Trees
100,14264,804477608,-97.77812081098931,30.634750578561068,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634750578561068),50,,Grasses
100,14265,804477609,-97.77812081098931,30.634840409839526,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634840409839526),50,,Trees
100,14266,804477610,-97.77812081098931,30.634930241034567,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77812081098931 30.634930241034567),50,,Trees
100,14267,804477611,-97.77801640854723,30.634121757276347,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634121757276347),50,,Grasses
100,14268,804477612,-97.77801640854723,30.634211589138687,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634211589138687),50,,Trees
100,14269,804477613,-97.77801640854723,30.634301420917595,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634301420917595),50,,Built-up
100,14270,804477614,-97.77801640854723,30.6343912526131,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.6343912526131),50,,Built-up
100,14271,804477615,-97.77801640854723,30.63448108422523,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.63448108422523),50,,Built-up
100,14272,804477616,-97.77801640854723,30.634570915753898,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634570915753898),50,,Trees
100,14273,804477617,-97.77801640854723,30.63466074719919,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.63466074719919),50,,Shrubs
100,14274,804477618,-97.77801640854723,30.634750578561068,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634750578561068),50,,Grasses
100,14275,804477619,-97.77801640854723,30.634840409839526,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634840409839526),50,,Grasses
100,14276,804477620,-97.77801640854723,30.634930241034567,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77801640854723 30.634930241034567),50,,Grasses
100,14277,804477621,-97.77791200610515,30.634121757276347,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634121757276347),50,,Built-up
100,14278,804477622,-97.77791200610515,30.634211589138687,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634211589138687),50,,Built-up
100,14279,804477623,-97.77791200610515,30.634301420917595,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634301420917595),50,,Built-up
100,14280,804477624,-97.77791200610515,30.6343912526131,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.6343912526131),50,,Built-up
100,14281,804477625,-97.77791200610515,30.63448108422523,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.63448108422523),50,,Built-up
100,14282,804477626,-97.77791200610515,30.634570915753898,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634570915753898),50,,Built-up
100,14283,804477627,-97.77791200610515,30.63466074719919,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.63466074719919),50,,Built-up
100,14284,804477628,-97.77791200610515,30.634750578561068,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634750578561068),50,,Grasses
100,14285,804477629,-97.77791200610515,30.634840409839526,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.77791200610515 30.634840409839526),50,,Grasses
100,14288,804477632,-97.7778076036631,30.634211589138687,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.634211589138687),50,,Built-up
100,14289,804477633,-97.7778076036631,30.634301420917595,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.634301420917595),50,,Built-up
100,14290,804477634,-97.7778076036631,30.6343912526131,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.6343912526131),50,,Built-up
100,14291,804477635,-97.7778076036631,30.63448108422523,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.63448108422523),50,,Built-up
100,14292,804477636,-97.7778076036631,30.634570915753898,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.634570915753898),50,,Shrubs
100,14293,804477637,-97.7778076036631,30.63466074719919,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.63466074719919),50,,Shrubs
100,14294,804477638,-97.7778076036631,30.634750578561068,jbspiritous@gmail.com,false,2026-02-25 21:19,1506.3 secs,CEO: Mapbox Satellite w/ Labels,,POINT(-97.7778076036631 30.634750578561068),50,,Built-up
